bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
1,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","it's closed using icon and button but didn't close using esc button"
2,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Video Shows an Error The media could not be loaded, either because the server or network failed or because the format is not supported."
3,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","Video is not played from first but it starts from nwhere you stopped"
4,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Margin in Preview is not correct in preview content will be cut"
5,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","swipe is not working"
6,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","Ui and Hover Effects not shows properly"
7,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Cart Option does not open proper page and alignment is also changed that is not proper"
8,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","it's not visible properly"
9,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Phone view having a previous and next button but it's a first page so first button is not required and  here next button is also not required because there is two empty space for data"
10,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Laptop view having a previous and next button but Next Button and previous Button both are showing multiple products it should be redirct on next page or next category that didn't happen"
11,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Monitor view having a previous and next button but it's a first page so first button is not required and  here next button is also not required because there is two empty space for data"
12,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Address didn't show perfect detail with area,city or country name"
13,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Email should be redirect on mail app on click event"
14,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Phone should be redirect on phone app on click event"
15,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for empty data for any field"
16,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for email"
17,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for email"
18,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for name field"
19,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for name field"
20,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for message field"
21,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","There is no validation for message field"
22,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","Dialog can increase hgeight only vertically not horizontally and there is no limit of height"
23,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","data is saved without refresh that is not correct"
24,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","button is working without any detail so that is not correct"
